id,topic_name,topic_link,topic_content,associated_category,summary
1,"How to Stay up to Date",https://gov.optimism.io/t/how-to-stay-up-to-date/6124,"system June 16, 2023, 11:17am 1 Governance Calendar 35 Likes [Recording & Recap] 22nd OP Community Governance Call Governance Weekly Recap","Get  Started 🌱","This is a notification for the 22nd OP Community Governance Call, which took place on June 16th, 2023. The recording and recap of the call are available, and the post has received 35 likes. This is part of the weekly governance recap for the OP community."
2,"How to Navigate the Forum",https://gov.optimism.io/t/how-to-navigate-the-forum/6120,"system June 16, 2023, 10:29am 1 How to Get a Grant How to Navigate the Forum Updates and Announcements: Find information about community calls, weekly governance summaries, and periodic updates from the Foundation and other partners Grants : Key information about Mission Grants. Technical Proposals : For all non-grant proposals. The Standard Template for non-grant Proposals can be found here . The process for submitting a non-grant proposal is outlined in the Operating Manual. Retro Funding : Citizen and Badgeholder discussions relating to the allocation of Retro Funding via specific rounds. Key info about rounds will also be found here. Token House Governance : General governance information as it pertains to delegates, voting cycle round-ups, and delegate communication threads. Accountability : This category is for posts that increase transparency and accountability around the usage of Governance Fund grants or other topics relevant to members of the Collective. Please keep the information provided here factual. All claims should be supported by verifiable evidence (on-chain, whenever possible) and data. Elected Representatives : This category is for any Elected Representative Structure (i.e., councils).These are the boards, commissions, and councils within the Optimism Collective. Collective Strategy : This category is for Collective Strategy relating to intents and roadmaps. Citizens : This category is for all things relating to Citizens! General Discussions : General and public discussions that don’t into other categories. Feedback : This category is for feedback of all kinds! Governance Design : This category is for the Collective’s metagovernance strategy! Metagovernance is governance of the governance system, so this category pertains to the design of how the Collective governs the governance system. 16 Likes Welcome to the Optimism Collective Discourse! Can you indicate which category I should post in?","Get  Started 🌱","The Optimism Collective Discourse forum offers a structured platform for grant applications, proposal submissions, governance discussions, accountability updates, and general community interactions. It features dedicated categories for different topics, including grants, technical proposals, retro funding, governance, and citizen engagement."
3,"How to Get a Grant",https://gov.optimism.io/t/how-to-get-a-grant/6119,"system June 16, 2023, 10:11am 1 Get a Grant If the process is still confusing after reviewing this guide, please leave feedback or ask unanswered questions here . 19 Likes How to Navigate the Forum Governance Weekly Recap","Mission  Grants  🏹","This forum post provides guidance on navigating the forum and obtaining grants. It includes a weekly recap of governance topics and encourages users to leave feedback or ask questions for clarification."
4,"Cycle 28 Grants Final Roundup",https://gov.optimism.io/t/cycle-28-grants-final-roundup/9001,"Gonna.eth October 10, 2024, 1:48am 1 I’m pleased to announce that all milestones for Cycle 28 have been accomplished on time, despite some reviewers managing Retro Funding 5 votes and others preparing for Retro Funding 6 sign-ups. Key Statistics: Total Applications Received: 53 Passed Preliminary Review: 41 Passed Final Review: 32 Approved Applications: 8 (2 pending approval) A special congratulations to Mint Blockchain for securing a Superchain grant this cycle Looking Ahead: A new mission request has already been approved by the Grants Council and is now open for applications. With the last mission request approved, the entire budget for the season is allocated, so there will be no further rolling mission requests this season. We’d like to thank the Foundation OPs Team for their invaluable support in enabling rolling mission requests and to the Govnerds for providing assistance during the vote periods—your support ensured everything ran smoothly. Finalists, database here : Application Resolution Optimism Dominance in Yield-Bearing Assets 3 Uniswap: YBA Grant Pending Microgrants for Experimental Projects DelegateMatch: Governance incentives for a delegation Farcaster frame. Approved Optimism as base for LRTs Uniswap: LRT Grant Pending Gaming Infra in the Superchain Gaming Infra in the Superchain Approved Accelerating Game Development in the Superchain Scout Game: onchain gamified talent referral platform Approved Optimism Dominance in Yield-Bearing Assets - DEX Liquidity for YBAs OETH on OP 4 Approved Contango Approved Velodrome Finance Approved Superchain Grants (chains only) Mint Blockchain- grow the Superchain NFT economy Approved Request for Audits Upnode Security review Approved 11 Likes List of OP Grant Season 6: Voting Cycle Guides OP Bulletin: Weekly news and insights on the Optimism Collective 📰 Governance Weekly Recap Optimism Forum Weekly Recap - daospace: 10/07 - 10/13 Governance Weekly Recap S6 Grants Council Communication Thread S6 Grants Council Communication Thread","Mission  Grants  🏹","Cycle 28 of the Optimism Grants program successfully completed, with 32 applications passing final review and 8 being approved. Mint Blockchain received a Superchain grant. All season budget is allocated, with a new mission request open for applications. Thanks are extended to the Foundation OPs Team and Govnerds for their support in facilitating the process."
5,"About the Delegates  🏛 category",https://gov.optimism.io/t/about-the-delegates-category/234,"karl May 3, 2022, 10:09pm 1 Info and discussions on voting, delegation, and the Token House 54 Likes","Delegates  🏛","This post, dated March 3, 2022, provides information and discussion on voting, delegation, and the Token House. It has garnered 54 likes."
6,"Mint Blockchain - Delegate Communication Thread",https://gov.optimism.io/t/mint-blockchain-delegate-communication-thread/9106,"Mint October 22, 2024, 1:45am 1 Welcome to the Mint Blockchain Delegate Communication Thread. This thread serves as a hub for all our communications, decisions, and community engagement regarding governance and voting activities. As a delegate, our primary focus is to actively support initiatives that contribute to the growth, decentralization, and long-term sustainability of the Optimism ecosystem. Delegate Address: Mint Blockchain Delegate Address on Optimism About Mint Blockchain Mint Blockchain, the native Ethereum L2 blockchain dedicated to NFTs and powered by NFTScan Labs and Optimism, is an integral part of the Optimism Superchain. Mint’s mission is to innovate and expand NFT asset use cases, fostering mass adoption and unleashing the true value of the NFT market. In this profound and unforgettable journey, Mint users are experiencing Mint’s voyages alongside the platform, growing together, and witnessing the realization of this mission. Written by Rose Quan , Head of Ecosystem at Mint Blockchain Our Mission: Mint Blockchain is committed to making informed and thoughtful decisions as a delegate. We aim to: Support projects that strengthen the technical infrastructure and utility of Optimism. Encourage diverse use cases that go beyond financial applications, including NFTs, gaming, and social initiatives. Foster open governance that empowers all members of the community to participate in the growth of Optimism. Key Values: Transparency: We will provide regular updates and detailed reasoning behind our governance decisions. Community Focus: We believe in fostering a community-driven environment where users, developers, and stakeholders alike can thrive. Long-Term Vision: Our votes are driven by the vision of Optimism as a leading Layer 2 solution, and we support proposals that align with this goal. Community Engagement: We value feedback from the community and encourage open dialogue. Please feel free to use this thread to share your thoughts, ask questions, or discuss ongoing proposals. 3 Likes","Delegates  🏛","Mint Blockchain, an Optimism Superchain dedicated to NFTs, is committed to supporting the growth and decentralization of the ecosystem. As a delegate, they prioritize initiatives that strengthen Optimism's infrastructure, encourage diverse use cases, and foster open governance. They value transparency, community engagement, and long-term vision in their decision-making."
7,"About the Retro  Funding 🔴 category",https://gov.optimism.io/t/about-the-retro-funding-category/4697,"lavande January 19, 2023, 12:20pm 1 Retroactive Public Goods Funding rounds information can be found here. 19 Likes","Retro  Funding 🔴","The post announces the availability of information regarding past rounds of public goods funding, likely for projects or initiatives aimed at benefiting the community."
8,"Is completing a GOV Mission outside of the GOV RPGF round scope?",https://gov.optimism.io/t/is-completing-a-gov-mission-outside-of-the-gov-rpgf-round-scope/9104,"inbestprogram.eth October 21, 2024, 10:50pm 1 Hey fam, its Alberto from InBest & ETH Costa Rica here. I write with some surprise upon seeing that three voters have disqualified our team’s work, i would like to just ask the following 3 questions: 1) Is a full university module about Optimism considered a “promotional initiative”? Screenshot 2024-10-21 at 4.24.24 PM 722×624 50.4 KB 2) Is the successful completion of a governance mission considered “outside of scope” for a governance round? Screenshot 2024-10-21 at 4.24.45 PM 712×618 11.7 KB 3) If the collective wants this to continue happening, shouldn’t we support the leaders who are fulfilling these missions? Screenshot 2024-10-21 at 4.29.22 PM 2602×1338 485 KB To provide context, our team has been leading governance efforts within Optimism. We successfully completed the mission called “Integrate Optimism Governance in University Module.” Our team at Inbest and Ethereum Costa Rica executed this mission perfectly. Please note that growth mission grants are meant to grow the Superchain—in this case, governance. The tokens allocated must be 100% distributed to the students, with no incentive for the team to do it other than a future RPGF. In fact, a council member informed us at that time, that the impact should be rewarded in a future RPGF. As this is an RPGF for governance, we believe this is the most appropriate round for our project, which has been extremely successful, surpassing even our expectations! This success is due to the tremendous effort by the team, in terms of time, money, and energy, overcoming challengues and the bureaucracy involved in running a full university course. All information about the module was detailed on the governance forum. Thank you for your support! please feel free to comment, we want to know your opinion. LINK TO THE GOVERNANCE MISSION FORUM POST: OPTIMISM University Module in Costa Rica Tagging a few people whose opinions I would really like to hear: @op_julian @Gonna.eth @LauNaMu @brichis @opmike @Pumbi @Jonas @jackanorak @katie Alberto InBest ETH Costa Rica 2 Likes","Retro  Funding 🔴","Alberto from InBest & ETH Costa Rica challenges the disqualification of his team's governance mission, questioning the definition of "promotional initiative" and "outside of scope". He argues that their successful university module on Optimism, completed within the scope of the mission, deserves reward through an RPGF, as it aligns with the goal of Superchain growth. He encourages discussion and seeks support from key community members."
9,"About the Citizens  👥 category",https://gov.optimism.io/t/about-the-citizens-category/7579,"vonnie610 February 1, 2024, 6:04pm 1 This category is for all things relating to Citizens! What are Citizens? Citizens are members of the Citizens’ House, which comprises one half of the Collective’s governance system. The Citizens’ House operates a reputation-based governance system (one member = one vote), and is primarily responsible for the allocation of retroactive public goods funding. Who are Citizens? Citizens represent individual human stakeholders of the Collective: builders, users, and community members who are aligned with the project’s values and are interested in the long-term benefit of the Collective. What do Citizens Do? The Citizenship process is evolving! Currently, Citizens are responsible for: Allocating Retroactive Public Goods Funding Vetoing Protocol Upgrades How are Citizens’ Selected? Citizenship has been distributed via a web-of-trust mechanism to date. In the future, Citizenship criteria will be defined by the Citizens themselves in a process managed by governance. You can join the conversation on Future Citizenship Selection Criteria here. 5 Likes","Citizens  👥","Citizens are members of the Citizens' House, one half of the Collective's governance system. They represent individual stakeholders, vote on public goods funding, and have veto power over protocol upgrades. Citizenship is currently distributed via a web-of-trust mechanism, but future selection criteria will be defined by the Citizens themselves."
10,"Retro Funding 5 Guest Voter Selection Algorithm Explanation",https://gov.optimism.io/t/retro-funding-5-guest-voter-selection-algorithm-explanation/8719,"gloriakw August 14, 2024, 9:30am 1 In this experiment, we wanted to rank developers, identified by their GitHub accounts, based on their proximity to OP Stack repos. We trialed a unique approach with a custom implementation of the EigenTrust algorithm. Special thanks to Carl Cervone (Open Source Observer), Emily Furlong (Optimism Foundation) and Eugene Kim (OpenRank), Jenya Nepoimannykh (OpenRank). The Foundational Method: Capturing the Web of Trust via Recursive Trust Graph Given a community of peers, their interactions with each other form a directed graph. Here, the peers become nodes within the graph and their interactions are the graph edges. These asymmetric edges can be viewed as trust arcs from one peer to the other. Additionally, the weight of each edge signals the degree of trust imparted by one peer onto another. The EigenTrust algorithm can then be run on such graphs to measure the impact of recursive trust propagation, leading to a global trust value for each peer or node in the network. Thus, every node gets assigned a reputation score. In a bipartite graph, there are two types of nodes, for example, GitHub repos as well as GitHub users as givers and receivers of trust forms a bipartite graph. EigenTrust not only works well with peer-to-peer data, but it can also be used for bipartite graphs, the implementation of which is achieved using the Hubs and Authorities algorithm. In a bipartite graph, there are two types of nodes, for example, GitHub repos as well as GitHub users as givers and receivers of trust forms a bipartite graph. The Goal of the Exercise and the Choice of Algorithm Goal To rank developers, identified by their GitHub accounts, based on their proximity to OP Stack repos. Approach OpenRank enables verifiable compute for a large class of reputation algorithms, **in particular those that (a) operate on a graph, (b) are iterative in nature and (c) have a tendency toward convergence. In the following sections, we give a brief overview of some of these algorithms. For our Developer ranking use case, we obtained a graph of relevant GitHub event data from Open Source Observer, covering more than 2,000 organizations and over 30,000 code repositories. We established two kinds of peers: GitHub users and repositories. We then used a variation of EigenTrust, the Hubs and Authorities algorithm, which computes rankings on an asymmetric bipartite trust graph. Below are the two different trust edges used in the graph: User-to-repository trust - this signals the user’s interest in the repository through actions such as stars, forks and issue/PR submissions. Repository-to-user trust - this signals the credit extended by the repository to the user for their contribution. Actions such as PRs merged, direct code commits received, and other maintenance actions. The reason for using these two different and asymmetric trust arcs between users and GitHub repositories is to ensure accuracy and sybil resistance in the rankings. For trust-critical use cases, shared interest signal is often not necessarily a good measure of trust. For example, sybil actors can create thousands of trust arcs directed to a malicious or irrelevant repository. We solve this in two ways, choose a set of somewhat trustworthy/useful seed peers (GitHub repositories); and using a trust arc from a repository to a user based on a relevant credit signal such as merging a PR. Once the compute is run, the resulting global trust can be used for ranking both users and GitHub repositories. Compute Model Assumptions and Weights Trust Signals In this model, we use developers (GitHub username) and OP Stack repositories as nodes in the trust graph. We establish trust arcs between users and repositories and vice versa in the following manner: User-to-repository actions (interest signals) include: Starring the repository Forking the repository Opening an issue Opening a pull request Directly committing to the repository Repository-to-user actions (credit signals) include: Having a pull request merged into the repository (approximated by opening of a pull request as of this exercise) Directly committing to the repository Repository maintenance, such as merging a PR, resolving an issue, etc. Choice of Seed Peers and Alpha Value Seed peers are core OP Stack repo, weighted by their relative importance. Core repos with higher importance (weight =2) ‘testinprod-op-erigon’ ‘a16z/magi’, ‘ethereum-optimism/optimism’, ‘ethereum-optimism/op-geth’, ‘ethereum-optimism/asterisc’, ‘ethereum-optimism/kona’, ‘ethereum-optimism/design-docs’, ‘ethereum-optimism/specs’ Other core repos with importance (weight=1) ‘ethereum-optimism/superchain-ops’, ‘ethereum-optimism/op-analytics’ Alpha (α) Value α is a parameter in EigenTrust algorithm that determines the significance of seed peers influence that shapes the reputation score of every other peers in the entire network. Alpha value is normally chosen between 0 and 0.5 and the higher the alpha the stronger the influence of seed peers, meaning the trust arc from seed peers to other peers will matter more for a peer’s relative reputation. A weak alpha value ( α=0.2 ) is chosen in this exercise, intending to discover more repos related to OP stack, and attribute contribution back to developers. Relatively less influential seed peers could let the other peers express more reputation credit to other repos and peers, therefore suits the purpose of the exercise. To read more about alpha value, check out the EigenTrust documentation here. Reasoning of the Weights Choices for Trust Arcs The weight ratio in the same class of actions (user-to-repo, or repo-to-user) matters. User-to-repo weights signals the seriousness of interest as well as the effort that would go into the action. Least to most significant: Forking < (committing directly, starring) < (opening issue, merging PR) < opening PR. A relative weight was assigned accordingly. Forking is a chore when someone wants to take a look at the repo and try something out quickly. (weight=1) Starring is a long-term interest signal to get updates from the repo and also skew the feed. (weight=5) Opening an issue actually takes nonnegligible effort. (weight=10) Opening a PR takes more effort as it also has proposed changes. PR opening reflects an original work. (weight =20) PR merging reflects a maintenance/review action. Typically it takes more effort for someone to create a patch and open a PR than to review it. (weight =10) Direct commits would normally sit between opening an issue and opening a PR; there are a lot of automated direct commits/pushes so we dial it down to the same level as opening an issue. (weight=5) Repo-to-user weight signals the degree of credit “thank you” from the repo(’s maintainers) to contributors (users). It can be thought of credit/“thank you” from the repository to the contributors. Least to most significant: merging PR (maintainer action) < direct commits (maintainer/allow-listed contributor action) < authoring and submitting a PR (which was eventually merged). A relative weight was assigned accordingly. Iteration on the Ranking Results There were several rounds of iteration on the algorithm, but it should by no means be interpreted to be in its final state. The process of adjusting and improving an algorithm of this type is a continuing effort and we imagine that this algorithm still has room for improvement, but is of sufficient quality for use in this experiment. The first iteration of the algorithm appeared to overvalue outdated repos, so we added a time decay function. We also adjusted the weight of seed repos to reflect the relative importance to the OP stack. In running the algorithm we discovered that the choice between an alpha value of 0.5 and 0.2 did not have a significant effect on the ranking. Discussion: Future Optimizations and Sybil-resistance This is the first iteration of using OpenRank to compute reputation within OP Stack based on data inputs from Open Source Observer, eg: Github event data. A few topics can be explored further. Additional Signals for Increasing Model Performance and Sybil Resistance Using real (non-approximated) signal of having a pull request merged into the repository Instead of approximating “opened PR = merged PR” Parsing GitHub events for more concrete signs of collaboration (eg, comments on issues, co-authored pull requests) and assessing the quality of those collaboration signals (eg, a conversation taking place over multiple weeks might be higher signal than one over a shorter interval) Both interest signals and credit signals are captured in the same local trust matrix. The local trust may also capture user-user and repo-repo trust signals (the latter being, once again, the success attribution signals), so the graph is not necessarily bipartite. Some examples: Following/Starring other users Repository dependencies (if repo A depends on repo B, A’s success should be attributed to B) Factoring Action’s Size into the Trust Arc Weight Example: PR importance (e.g. documentation fix < a whole new feature) Subjective factor (what kind of PR is it? feature? bug fix? doc? does the project use labels for these?) Objective factor (change size?) Expanded Seed Trust Use a wider selection of OP-related repos so users’ contribution to those repos will directly increase the user’s trust standing via the seed trust Try and include both actors and objects in the seed. Actors-only or objects-only seed trust often yields to slow convergence. Associate different weights to seed repos, e.g. according to their importance About OpenRank OpenRank is a decentralized ranking and reputation protocol. It enables a verifiable reputation compute layer for the open web that unlocks a broad range of useful applications, including those that resist cryptographic or game-theoretic mechanisms of trust. Using graph compute algorithms like EigenTrust, it offers resilience from sybil contexts, provides scalable and context-specific compute, and enables permissionless access to compute and reputation data for any developer. The Verifiability of OpenRank powered Reputation Scores As a reputation protocol, the permissionless verifiability of the scores is a key property of OpenRank’s proposition. The verification methods that we propose are far cheaper than verification of general purpose computations, based on the intuition that iterative convergent algorithms on a graph are expensive to compute, but inexpensive to check (typically requiring one matrix-vector multiplication to check for convergence). This makes it far more practical to use this reputation computer for these use cases than a general purpose decentralized compute network. Contact gloria@karma3labs.com to access the full preliminary litepaper. To run the code yourself, start by creating a Google Cloud account and subscribe to the dataset following the below guides: docs.opensource.observer Get Started | Open Source Observer There are two easy ways of accessing OSO datasets: through our GraphQL API docs.opensource.observer Data Overview | Open Source Observer First, you need to set up your BigQuery account. You can do this by going to the Github Link of the Open Sourced Code github.com openrankprotocol/openrank-notebooks/blob/main/OpenRank + GitHub I&amp;C for Retrofunding R5 Voter Selection.ipynb { "nbformat": 4, "nbformat_minor": 0, "metadata": { "colab": { "provenance": [] }, "kernelspec": { "name": "python3", "display_name": "Python 3" }, "language_info": { "name": "python" }, "widgets": { "application/vnd.jupyter.widget-state+json": { "5d29ff5c680141db91e6e36a92d0902d": { "model_module": "@jupyter-widgets/controls", "model_name": "HBoxModel", "model_module_version": "1.5.0", This file has been truncated. show original 4 Likes Impact Metrics for Retro Funding 5 Retro Funding 5: Expert voting experiment Retro Funding 5: Announcing Guest Voter Participation OP Bulletin: Weekly news and insights on the Optimism Collective 📰 Create your own Developer Reputation Scores - OpenRank Web Tool Intro Optimism Forum Weekly Recap - daospace: 08/12 - 08/18","Citizens  👥","This experiment aimed to rank developers based on their proximity to OP Stack repositories using a modified EigenTrust algorithm. It leveraged OpenRank for verifiable compute and a bipartite graph with user-to-repository and repository-to-user trust arcs. The algorithm considers factors like code contributions, PR merging, and seed repositories to assess developer reputation."
